How are accounts organized within an organization?,Accounts can belong to organizational units (OUs). Organizational units can be nested within each other.,iam,
What is a Service Control Policy (SCP)?,A Service Control Policy is a policy document that can be attached to OUs or individual accounts in an org. They are inherited downwards in an OU hierarchy. SCPs limit what accounts can do.,iam,
How many IAM users can an account have?,"5,000 users",iam,
What are the three functionalities of CloudWatch?,"Metrics, Logs, and Events",sec,
What is the maximum size of an S3 object?,5 TB,s3,
What is the default limit on S3 buckets in an AWS account?,100 buckets,s3,
Is S3 private by default?,"Yes, S3 is private by default.",s3,
What kind of policy is a bucket policy?,A bucket policy is a resource policy.,s3,
What do resource policies allow you to do?,Resource policies let you ALLOW or DENY access from accounts.,s3,
Can you disable versioning in a bucket after it has been enabled?,"No, you cannot disable versioning in a bucket after it has been enabled. However, you can suspend it.",s3,
What is a drawback of using versioning?,Using versioning can significantly increase S3 costs. You are billed for all versions of an object.,s3,
What is MFA delete?,MFA Delete is a feature which makes it so MFA is required to change bucket versioning state and delete versions.,s3,
What level of resiliency does S3 have?,S3 is regional based/resilient.,s3,
Can NACLs be attached to VPCs?,"No, NACLs are associated with subnets.",vpc,
What can NACLs do that SGs cannot?,NACLs can apply explicit DENY.,vpc,
How many NACLs can be applied to a subnet?,A subnet can have one NACL at a time.,vpc,
Can Security Groups be attached to subnets?,"No, Security Groups are attached to AWS logical resources. e.g. EC2 instances",vpc,
What level of resiliency does VPC have?,VPCs are regionally resilient. The subnets within a VPC are AZ-level resilient.,vpc,
How many default VPCs can you have per region?,You can have at most one default VPC per region.,vpc,
How can you give a private subnet outgoing access to the public internet?,You can do this by using a NAT gateway. You attach a NAT gateway to a public subnet within the same VPC and configure the private subnet's route table to route traffic through that NAT gateway. You also need the NAT gateway to connect to the IGW.,vpc,
What level of resiliency does a NAT gateway have?,"NAT gateways are AZ resilient. They run from public subnets, which are AZ-level.",vpc,
How are NAT gateways billed?,"NAT gateways are an AWS managed service. They scale to 45 Gbps, are charged for duration and data volume.",vpc,
What level of resiliency does an EC2 Host have?,"EC2 hosts are AZ-level resilient. If an AZ fails, the host in it fails, and the instances in that host fail.",ec2,
Can an EC2 instance be in a different AZ than its block storage?,"No, all block storage attached to an EC2 instance must be in the same AZ. EC2 is an AZ-level service.",ec2,
Is it possible to move an EC2 instance from one AZ to another?,EC2 instances can be migrated across AZs by making a snapshot in S3 and then making a volume from that snapshot.,ec2,
What kind of applications are EC2 good for?,"Some good uses for EC2 include: long-running applications, servers, monolithic application stacks, or migrated application workloads e.g. from disaster recovery",ec2,
Consider the instance type R5dn.8xlarge. What does its name say about it?,"R = instance type, 5 = instance generation, dn = additional capabilities, 8xlarge = instance size",ec2,
Is EBS storage ephemeral or persistent?,EBS storage is persistent. It will persist after its instance is terminated.,ec2,
What are the different types of EC2 instances?,"General purpose, compute optimized, memory optimized, accelerated computing (GPU & FPGA), storage optimized",ec2,
Can a GP2 EBS volume run out of IO credits?,Yes. A GP2 volume can run out of IO credits if it consumes them faster than they are replenished.,ec2,
What is the size of an IO credit?,An IO credit is 16 KB.,ec2,
How can a GP2 volume burst its IOPS rate?,A GP2 volume can burst its IOPS rate by using up IO credits.,ec2,
What are some differences between GP2 and GP3?,"GP3 doesn't use the credit system of GP2. Also, GP3's base price is ~20% cheaper than GP2.",ec2,
What is BlockExpress?,BlockExpress is a feature of EBS Provisioned IOPS SSD volumes. It allows IOPS to be adjusted independently of size.,ec2,
Can you add an instance store volume to an EC2 instance after it has been launched?,"No, an instance store volume must be attached to an EC2 instance at launch.",ec2,
What makes instance store volumes have such high storage performance?,Instance store volumes have high storage performance because they are physically connected to EC2 hosts. Any EC2 instances on that host can access these volumes.,ec2,
"If an EC2 instance is stopped and started in a different host, does it retain the data stored in its instance store volume(s)?","No, instance store volumes are associated with specific EC2 hosts and are ephemeral.",ec2,
Do instance store volumes cause instances to incur any additional costs?,"No, instance store volumes are included in the pricing of an instance. They are already paid for, so there is no benefit to not using them if provided.",ec2,
